2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
172,STS,Charles M. Schulz - Sonoma County,Santa Rosa,CA,240.26,327.74,"10,338",,,,,,,,,,,
173,LCK,Rickenbacker International,Columbus,OH,198.97,271.42,"10,329",,,,,,,,,,,
174,EVV,Evansville Regional,Evansville,IN,463.24,631.92,"10,307",,,,,,,,,,,
175,OAJ,Albert J Ellis,Jacksonville/Camp Lejeune,NC,483.64,659.74,"10,155",,,,,,,,,,,
176,AVP,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,370.01,504.74,"10,009",,,,,,,,,,,
177,BMI,Central Il Regional Airport at Bloomington,Bloomington/Normal,IL,293.00,399.69,"9,970",,,,,,,,,,,
178,JNU,Juneau International,Juneau,AK,468.49,639.08,"9,873",,,,,,,,,,,
179,MRY,Monterey Regional,Monterey,CA,399.58,545.08,"9,503",,,,,,,,,,,
180,BLI,Bellingham International,Bellingham,WA,228.32,311.46,"9,292",,,,,,,,,,,
181,MLB,Melbourne Orlando International,Melbourne,FL,412.57,562.79,"9,185",,,,,,,,,,,
182,DRO,Durango La Plata County,Durango,CO,383.66,523.36,"9,163",,,,,,,,,,,
183,TRI,Tri Cities,Bristol/Johnson City/Kingsport,TN,387.95,529.21,"8,897",,,,,,,,,,,
184,BFL,Meadows Field,Bakersfield,CA,435.06,593.48,"8,531",,,,,,,,,,,
185,GRK,Robert Gray AAF,Killeen,TX,429.73,586.20,"8,517",,,,,,,,,,,
186,CRW,West Virginia International Yeager,Charleston/Dunbar,WV,419.51,572.26,"8,170",,,,,,,,,,,
187,MOT,Minot International,Minot,ND,613.62,837.05,"7,755",,,,,,,,,,,
188,SGU,St George Regional,St. George,UT,146.45,199.77,"7,705",,,,,,,,,,,
189,GTF,Great Falls International,Great Falls,MT,427.76,583.52,"7,637",,,,,,,,,,,
190,RFD,Chicago/Rockford International,Rockford,IL,197.33,269.19,"7,383",,,,,,,,,,,
191,ASE,Aspen Pitkin County Sardy Field,Aspen,CO,441.76,602.62,"7,337",,,,,,,,,,,
192,STX,Henry E. Rohlsen,Christiansted,VI,480.77,655.83,"7,334",,,,,,,,,,,
193,MTJ,Montrose Regional,Montrose/Delta,CO,432.55,590.05,"7,013",,,,,,,,,,,
194,SCE,University Park,State College,PA,424.14,578.59,"6,866",,,,,,,,,,,
195,DLH,Duluth International,Duluth,MN,426.71,582.08,"6,652",,,,,,,,,,,
196,MGM,Montgomery Regional,Montgomery,AL,473.66,646.13,"6,584",,,,,,,,,,,
197,HTS,Tri-State/Milton J. Ferguson Field,Ashland,WV,235.54,321.30,"6,574",,,,,,,,,,,
198,HHH,Hilton Head Airport,Hilton Head,SC,439.01,598.87,"6,408",,,,,,,,,,,
199,LBE,Arnold Palmer Regional,Latrobe,PA,358.59,489.16,"6,136",,,,,,,,,,,
200,BRO,Brownsville South Padre Island International,Brownsville,TX,410.96,560.61,"6,127",,,,,,,,,,,
201,LAN,Capital Region International,Lansing,MI,434.59,592.83,"5,888",,,,,,,,,,,
202,LRD,Laredo International,Laredo,TX,334.51,456.31,"5,865",,,,,,,,,,,
203,AEX,Alexandria International,Alexandria,LA,469.51,640.47,"5,806",,,,,,,,,,,
