2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
207,SCK,Stockton Metro,Stockton,CA,137.39,199.45,"5,232",,,,,,,,,,,
208,AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,472.93,686.57,"5,176",,,,,,,,,,,
209,RST,Rochester International,Rochester,MN,420.15,609.94,"5,139",,,,,,,,,,,
210,PHF,Newport News/Williamsburg International,Newport News/Williamsburg,VA,269.33,390.99,"5,060",,,,,,,,,,,
211,LNK,Lincoln Airport,Lincoln,NE,398.65,578.73,"5,033",,,,,,,,,,,
212,ELM,Elmira/Corning Regional,Elmira/Corning,NY,437.50,635.13,"5,016",,,,,,,,,,,
213,ACV,California Redwood Coast Humboldt County,Arcata/Eureka,CA,404.94,587.86,"4,875",,,,,,,,,,,
214,MLU,Monroe Regional,Monroe,LA,456.07,662.09,"4,860",,,,,,,,,,,
215,FLG,Flagstaff Pulliam,Flagstaff,AZ,422.64,613.56,"4,845",,,,,,,,,,,
216,COU,Columbia Regional,Columbia,MO,429.05,622.86,"4,701",,,,,,,,,,,
217,HDN,Yampa Valley,Hayden,CO,451.66,655.68,"4,571",,,,,,,,,,,
218,EWN,Coastal Carolina Regional,New Bern/Morehead/Beaufort,NC,429.52,623.55,"4,529",,,,,,,,,,,
219,ERI,Erie International/Tom Ridge Field,Erie,PA,362.97,526.93,"4,465",,,,,,,,,,,
220,SWF,New York Stewart International,Newburgh/Poughkeepsie,NY,342.76,497.59,"4,411",,,,,,,,,,,
221,LYH,Lynchburg Regional/Preston Glenn Field,Lynchburg,VA,560.78,814.09,"4,256",,,,,,,,,,,
222,ABI,Abilene Regional,Abilene,TX,390.88,567.45,"4,199",,,,,,,,,,,
223,ACK,Nantucket Memorial,Nantucket,MA,521.09,756.47,"4,191",,,,,,,,,,,
224,MBS,MBS International,Saginaw/Bay City/Midland,MI,441.26,640.59,"4,177",,,,,,,,,,,
225,GFK,Grand Forks International,Grand Forks,ND,513.16,744.96,"4,123",,,,,,,,,,,
226,SAF,Santa Fe Municipal,Santa Fe,NM,615.86,894.06,"4,034",,,,,,,,,,,
227,SPI,Abraham Lincoln Capital,Springfield,IL,419.35,608.77,"4,033",,,,,,,,,,,
228,KTN,Ketchikan International,Ketchikan,AK,446.96,648.87,"4,031",,,,,,,,,,,
229,GUM,Guam International,Guam,TT,1450.92,2106.33,"3,980",,,,,,,,,,,
230,BET,Bethel Airport,Bethel,AK,418.55,607.62,"3,893",,,,,,,,,,,
231,CPR,Casper/Natrona County International,Casper,WY,510.05,740.44,"3,792",,,,,,,,,,,
232,HLN,Helena Regional,Helena,MT,542.90,788.13,"3,759",,,,,,,,,,,
233,SUN,Friedman Memorial,Sun Valley/Hailey/Ketchum,ID,473.76,687.77,"3,753",,,,,,,,,,,
234,GRI,Central Nebraska Regional,Grand Island,NE,500.85,727.10,"3,669",,,,,,,,,,,
235,CLL,Easterwood Field,College Station/Bryan,TX,435.62,632.39,"3,608",,,,,,,,,,,
236,MHK,Manhattan Regional,Manhattan/Ft. Riley,KS,488.29,708.86,"3,513",,,,,,,,,,,
237,SBY,Salisbury-Ocean City/Wicomico Regional,Salisbury,MD,366.30,531.76,"3,452",,,,,,,,,,,
238,SJT,San Angelo Regional/Mathis Field,San Angelo,TX,409.43,594.37,"3,427",,,,,,,,,,,
239,CMI,University of Illinois/Willard,Champaign/Urbana,IL,430.03,624.29,"3,301",,,,,,,,,,,
240,RDD,Redding Municipal,Redding,CA,416.39,604.48,"3,292",,,,,,,,,,,
241,LCH,Lake Charles Regional,Lake Charles,LA,475.72,690.61,"3,278",,,,,,,,,,,
242,ITH,Ithaca Tompkins International,Ithaca/Cortland,NY,478.72,694.97,"3,259",,,,,,,,,,,
243,MQT,Sawyer International,Marquette,MI,400.32,581.16,"3,013",,,,,,,,,,,
244,PUW,Pullman Moscow Regional,Pullman,WA,401.69,583.15,"2,983",,,,,,,,,,,
245,YKM,Yakima Air Terminal/McAllister Field,Yakima,WA,396.69,575.88,"2,852",,,,,,,,,,,
246,EAT,Pangborn Memorial,Wenatchee,WA,374.10,543.08,"2,816",,,,,,,,,,,
247,SIT,Sitka Rocky Gutierrez,Sitka,AK,388.62,564.17,"2,765",,,,,,,,,,,
248,PSM,Portsmouth International at Pease,Portsmouth,NH,174.92,253.93,"2,731",,,,,,,,,,,
249,CSG,Columbus Airport,Columbus,GA,576.51,836.93,"2,693",,,,,,,,,,,
250,ADQ,Kodiak Airport,Kodiak,AK,620.63,900.99,"2,681",,,,,,,,,,,
251,FSM,Fort Smith Regional,Fort Smith,AR,443.18,643.37,"2,626",,,,,,,,,,,
252,ROW,Roswell Air Center,Roswell,NM,506.36,735.10,"2,572",,,,,,,,,,,
253,ACT,Waco Regional,Waco,TX,441.96,641.60,"2,483",,,,,,,,,,,
254,TYR,Tyler Pounds Regional,Tyler,TX,453.48,658.33,"2,461",,,,,,,,,,,
255,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,516.35,749.60,"2,432",,,,,,,,,,,
256,PSE,Mercedita,Ponce,PR,206.28,299.45,"2,413",,,,,,,,,,,
257,VLD,Valdosta Regional,Valdosta,GA,485.68,705.07,"2,294",,,,,,,,,,,
258,LAW,Lawton-Fort Sill Regional,Lawton/Fort Sill,OK,452.35,656.69,"2,244",,,,,,,,,,,
259,ALW,Walla Walla Regional,Walla Walla,WA,389.09,564.84,"2,204",,,,,,,,,,,
