Average Domestic Airline Itinerary Fares By Origin City for 2011 Ranked by Total Number of Domestic Passengers in 2021,,,,,,,,,,,,,,,,,,
2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
246,MQT,Sawyer International,Marquette,MI,488.80,635.95," 3,013 ",,,,,,,,,,,
247,PUW,Pullman Moscow Regional,Pullman,WA,340.17,442.57," 2,983 ",,,,,,,,,,,
248,YKM,Yakima Air Terminal/McAllister Field,Yakima,WA,408.93,532.03," 2,852 ",,,,,,,,,,,
249,IAG,Niagara Falls International,Niagara Falls,NY,142.89,185.91," 2,831 ",,,,,,,,,,,
250,EAT,Pangborn Memorial,Wenatchee,WA,370.54,482.09," 2,816 ",,,,,,,,,,,
251,SIT,Sitka Rocky Gutierrez,Sitka,AK,447.13,581.73," 2,765 ",,,,,,,,,,,
252,CSG,Columbus Airport,Columbus,GA,562.02,731.20," 2,693 ",,,,,,,,,,,
253,ADQ,Kodiak Airport,Kodiak,AK,659.99,858.68," 2,681 ",,,,,,,,,,,
254,FSM,Fort Smith Regional,Fort Smith,AR,498.67,648.79," 2,626 ",,,,,,,,,,,
255,ROW,Roswell Air Center,Roswell,NM,472.59,614.85," 2,572 ",,,,,,,,,,,
256,ACT,Waco Regional,Waco,TX,466.69,607.18," 2,483 ",,,,,,,,,,,
257,TYR,Tyler Pounds Regional,Tyler,TX,474.00,616.70," 2,461 ",,,,,,,,,,,
258,PBG,Plattsburgh International,Plattsburgh,NY,238.57,310.39," 2,456 ",,,,,,,,,,,
259,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,354.01,460.58," 2,432 ",,,,,,,,,,,
260,PSE,Mercedita,Ponce,PR,242.05,314.91," 2,413 ",,,,,,,,,,,
